Subject,Course Code,Course Title,Description,Prerequisites,Offered,Keywords
Accounting,A100,Introduction to Accounting Design,This course covers introduction to accounting design with emphasis on practical and theoretical aspects.,None,"Summer, Spring","Accounting, Introduction, to, Accounting, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Accounting,A109,Introduction to Accounting Design,This course covers introduction to accounting design with emphasis on practical and theoretical aspects.,A100 - Introduction to Accounting Design,Spring,"Accounting, Introduction, to, Accounting, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A100 - Introduction to Accounting Design"
Accounting,A118,Principles of Accounting Systems,This course covers principles of accounting systems with emphasis on practical and theoretical aspects.,A109 - Introduction to Accounting Design,"Spring, Fall, Summer","Accounting, Principles, of, Accounting, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A109 - Introduction to Accounting Design"
Accounting,A127,Introduction to Accounting Management,This course covers introduction to accounting management with emphasis on practical and theoretical aspects.,A118 - Principles of Accounting Systems,"Summer, Spring","Accounting, Introduction, to, Accounting, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A118 - Principles of Accounting Systems"
Accounting,A136,Introduction to Accounting Analysis,This course covers introduction to accounting analysis with emphasis on practical and theoretical aspects.,A127 - Introduction to Accounting Management,"Fall, Spring","Accounting, Introduction, to, Accounting, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A127 - Introduction to Accounting Management"
Accounting,A145,Principles of Accounting Theory,This course covers principles of accounting theory with emphasis on practical and theoretical aspects.,A136 - Introduction to Accounting Analysis,"Summer, Spring, Fall","Accounting, Principles, of, Accounting, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A136 - Introduction to Accounting Analysis"
Accounting,A154,Fundamentals of Accounting Applications,This course covers fundamentals of accounting applications with emphasis on practical and theoretical aspects.,A145 - Principles of Accounting Theory,"Summer, Spring","Accounting, Fundamentals, of, Accounting, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A145 - Principles of Accounting Theory"
Accounting,A163,Fundamentals of Accounting Analysis,This course covers fundamentals of accounting analysis with emphasis on practical and theoretical aspects.,A154 - Fundamentals of Accounting Applications,Summer,"Accounting, Fundamentals, of, Accounting, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A154 - Fundamentals of Accounting Applications"
Accounting,A172,Fundamentals of Accounting Analysis,This course covers fundamentals of accounting analysis with emphasis on practical and theoretical aspects.,A163 - Fundamentals of Accounting Analysis,"Spring, Summer","Accounting, Fundamentals, of, Accounting, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A163 - Fundamentals of Accounting Analysis"
Accounting,A181,Introduction to Accounting Systems,This course covers introduction to accounting systems with emphasis on practical and theoretical aspects.,A172 - Fundamentals of Accounting Analysis,"Spring, Summer","Accounting, Introduction, to, Accounting, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A172 - Fundamentals of Accounting Analysis"
Accounting,A190,Fundamentals of Accounting Systems,This course covers fundamentals of accounting systems with emphasis on practical and theoretical aspects.,A181 - Introduction to Accounting Systems,Fall,"Accounting, Fundamentals, of, Accounting, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A181 - Introduction to Accounting Systems"
Apparel Merchandising Design,AMD100,Introduction to Apparel Merchandising Design Practice,This course covers introduction to apparel merchandising design practice with emphasis on practical and theoretical aspects.,None,"Summer, Spring, Fall","Apparel Merchandising Design, Introduction, to, Apparel, Merchandising, Design, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Apparel Merchandising Design,AMD109,Principles of Apparel Merchandising Design Development,This course covers principles of apparel merchandising design development with emphasis on practical and theoretical aspects.,AMD100 - Introduction to Apparel Merchandising Design Practice,Summer,"Apparel Merchandising Design, Principles, of, Apparel, Merchandising, Design, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: AMD100 - Introduction to Apparel Merchandising Design Practice"
Apparel Merchandising Design,AMD118,Introduction to Apparel Merchandising Design Theory,This course covers introduction to apparel merchandising design theory with emphasis on practical and theoretical aspects.,AMD109 - Principles of Apparel Merchandising Design Development,"Spring, Fall, Summer","Apparel Merchandising Design, Introduction, to, Apparel, Merchandising, Design, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: AMD109 - Principles of Apparel Merchandising Design Development"
Apparel Merchandising Design,AMD127,Fundamentals of Apparel Merchandising Design Practice,This course covers fundamentals of apparel merchandising design practice with emphasis on practical and theoretical aspects.,AMD118 - Introduction to Apparel Merchandising Design Theory,"Spring, Fall, Summer","Apparel Merchandising Design, Fundamentals, of, Apparel, Merchandising, Design, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: AMD118 - Introduction to Apparel Merchandising Design Theory"
Apparel Merchandising Design,AMD136,Principles of Apparel Merchandising Design Management,This course covers principles of apparel merchandising design management with emphasis on practical and theoretical aspects.,AMD127 - Fundamentals of Apparel Merchandising Design Practice,"Spring, Fall, Summer","Apparel Merchandising Design, Principles, of, Apparel, Merchandising, Design, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: AMD127 - Fundamentals of Apparel Merchandising Design Practice"
Apparel Merchandising Design,AMD145,Principles of Apparel Merchandising Design Development,This course covers principles of apparel merchandising design development with emphasis on practical and theoretical aspects.,AMD136 - Principles of Apparel Merchandising Design Management,"Summer, Spring, Fall","Apparel Merchandising Design, Principles, of, Apparel, Merchandising, Design, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: AMD136 - Principles of Apparel Merchandising Design Management"
Apparel Merchandising Design,AMD154,Fundamentals of Apparel Merchandising Design Analysis,This course covers fundamentals of apparel merchandising design analysis with emphasis on practical and theoretical aspects.,AMD145 - Principles of Apparel Merchandising Design Development,Summer,"Apparel Merchandising Design, Fundamentals, of, Apparel, Merchandising, Design, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: AMD145 - Principles of Apparel Merchandising Design Development"
Apparel Merchandising Design,AMD163,Introduction to Apparel Merchandising Design Theory,This course covers introduction to apparel merchandising design theory with emphasis on practical and theoretical aspects.,AMD154 - Fundamentals of Apparel Merchandising Design Analysis,"Fall, Summer, Spring","Apparel Merchandising Design, Introduction, to, Apparel, Merchandising, Design, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: AMD154 - Fundamentals of Apparel Merchandising Design Analysis"
Apparel Merchandising Design,AMD172,Fundamentals of Apparel Merchandising Design Design,This course covers fundamentals of apparel merchandising design design with emphasis on practical and theoretical aspects.,AMD163 - Introduction to Apparel Merchandising Design Theory,"Summer, Spring, Fall","Apparel Merchandising Design, Fundamentals, of, Apparel, Merchandising, Design, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: AMD163 - Introduction to Apparel Merchandising Design Theory"
